Equipe;Processo;Data Entrada;Status;Responsável;Prazo;UF;Contrato;BR;Tipo;Assunto;Providência;SEI Recebido;1 - SEI Criado;2 - SEI Criado;3 - SEI Criado;Data de Revisão;Observações;Data de Assinatura;Criado por;Data Criação;Cadastrado no SIMA?;Tem Prazo;Comentários;
PROJETO;50600.023451/2025-91;2026-05-14;Assinado;Bruno;2026-05-21;RS;00 00375/2024;BR-116;Projetos;Encaminhamento de Nota Técnica - Contrato nº 375/2024 - rodovia BR-116/RS.;Ciência de encaminhamento;24751589;24774420;;;2026-05-15;;2026-05-18;Bruno Pimenta Resende;2026-05-14;Sim;Não;;
PROJETO;50600.027198/2025-44;2026-05-18;Assinado;Bruno;2026-05-25;CE;03 00077/2024;BR-116;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;"Verificar:
03 0077/2024 -  BR-116/CE - Pacajus";;24804791;;;2026-05-19;03 0077/2024 -  BR-116/CE - Pacajus - Publicou o Termo Aditivo e ainda não há cronograma;2026-05-19;Bruno Pimenta Resende;2026-05-18;Sim;Não;;
ASSESSORIA COAC;50609.000508/2025-01;2026-05-15;Assinado;Maria Júlia;2026-05-22;PR;-;-;DNIT/SRE;Publicação do Termo de Transferência referente à alienação da travessia urbana da BR-376/PR, em Mandaguari, no Paraná.;Atestar ciência.;24770409;24794782;;;2026-05-18;;2026-05-19;Maria Julia de Miranda Fiel dos Santos;2026-05-18;Sim;Não;;
PROJETO;50600.015633/2025-98;2026-05-18;Assinado;Bruno;2026-05-25;PE;04 00260/2021;BR-423;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;"Verificar:
04 00260/2021 - BR-423/PE";;24807461;;;2026-05-19;;2026-05-27;Bruno Pimenta Resende;2026-05-18;Sim;Não;;
PROJETO;50600.027469/2025-61;2026-05-18;Assinado;Bruno;2026-05-25;RS;00 00246/2025;BR-392;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;"Verificar
Termo Aditivo - 1º Termo Aditivo de MCP (SEI nº 24130225)";;24814684;;;2026-05-20;;2026-05-27;Bruno Pimenta Resende;2026-05-18;Sim;Não;;
PROJETO;50609.001437/2026-37;2026-05-18;Assinado;Bruno;2026-05-25;PR;09 00070/2022;BR-376;Projetos;Entrega de Respostas às Análises dos Projetos;Encaminhamento para DPP;24788142;24806621;;;2026-05-19;;2026-05-19;Bruno Pimenta Resende;2026-05-18;Sim;Não;;
PROJETO;50606.000347/2025-78;2026-05-05;Assinado;Bruno;2026-05-12;MG;00 00619/2024;BR-381;Projetos;Encaminhamento e ciência de análises;Encaminhamento e ciência;;24805772;24805787;24805802;2026-05-18;"24775527
24775670";2026-05-19;Bruno Pimenta Resende;2026-05-19;Sim;Não;;
PROJETO;50606.000347/2025-78;2026-05-19;Assinado;Bruno;2026-05-26;MG;00 00619/2024;BR-381;Projetos;Projetos e Termos de Aceite;Ciência;24810909;24894826;;;2026-05-27;"24843891
24889354";2026-05-27;Bruno Pimenta Resende;2026-05-19;Sim;Não;;
PROJETO;50603.000829/2024-77;2026-05-20;Assinado;Bruno;2026-05-27;CE;03 00077/2024;BR-116;Projetos;Entrega Projeto Básico – Projeto de OAE – Braço do Rio Choró (Leste)  e análise;Ciência e encaminhamento de termo de aceite;24812053;24819863;24820033;;2026-05-20;;2026-05-28;Bruno Pimenta Resende;2026-05-20;Sim;Não;;
PROJETO;50600.031376/2022-99;2026-05-20;Assinado;Bruno;2026-05-27;PR;09 00397/2021;BR-487;Projetos;Análises de Obras Complementares e Sinalização;Ciência;24813301;24818808;;;2026-05-20;;2026-05-27;Bruno Pimenta Resende;2026-05-20;Sim;Não;;
