Equipe;Processo;Data Entrada;Status;Responsável;Prazo;UF;Contrato;BR;Tipo;Assunto;Providência;SEI Recebido;1 - SEI Criado;2 - SEI Criado;3 - SEI Criado;Data de Revisão;Observações;Data de Assinatura;Criado por;Data Criação;Cadastrado no SIMA?;Tem Prazo;Comentários;
PROJETO;50600.025887/2023-52;2025-02-14;Assinado;Rebeca;2025-02-21;RS;00 00375/2024;BR-116;Projetos;Pendência de deliberação da Comissão Binacional - Reunião da Comissão Binacional -- BR-116/RS;"Ofício do Consórcio informando que o cronograma não será atendido por falta de decisão, na análise de projeto, pelo Governo do Uruguai. Marília orientou aguardar alguma definição da DPP para resposta, visto que a Diretoria já repassou a problemática ao Ministério. 
04/08 - Com a reunião Binacional, relatar solução do Proj. Geométrico. VERIFICAR PQ NÃO FOI ASSINADO";20319029;21782079;;;2025-08-04;Documento no bloco em 28/07 necessitou de ajustes.;2025-08-12;Rebeca Braz Soares Fiameni;2025-07-07;Sim;Não;;
PROJETO;50610.005571/2020-82;2025-04-16;Assinado;Rebeca;2025-04-23;RS;10 00821/2019;BR-116;Projetos;Contrato nº 10 00821/2019 - Encaminhamento de Análises de Projetos - BR-116/RS.;Encaminhamento à SR para conhecimento de análise de projeto.;20897664;20749435;20750672;20751590;2025-04-16;;2025-04-16;Bruno Pimenta Resende;2025-02-06;Sim;Não;;
ASSESSORIA COAC;50001.024541/2025-58;2025-05-09;Assinado;Rebeca;2025-05-16;-;-;-;FALA-BR;Solicitação de informações - Lei de Acesso à Informação. Subsídios para Decisão de Recurso em Segunda Instância.;"Remetente: Fala-BR 
Sobre exportação de dados de latitude e longitude das obras.";21091895;21096807;;;2025-05-12;;2025-05-12;Gabrielle Afonso Pereira Nogueira;;Sim;Não;;
PROJETO;50603.002068/2024-98;2025-01-31;Assinado;Rebeca;2025-02-07;CE;03 00077/2024;BR-116;Projetos;Contrato nº 00 00077/2024 - Ciência de projetos e análises do reconhecimento da Faixa de Domínio - BR-116/CE.;Ciência de projetos e análises do reconhecimento da Faixa de Domínio - BR-116/CE;20172681;21110673;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-07-07;Sim;Não;;
PROJETO;50603.002068/2024-98;2025-04-17;Assinado;Rebeca;2025-04-24;CE;03 00077/2024;BR-116;Projetos;Contrato nº 00 00077/2024 - Ciência de projetos e análises do reconhecimento da Faixa de Domínio - BR-116/CE.;Ciência de projetos e análises do reconhecimento da Faixa de Domínio - BR-116/CE;20923950;21110673;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50600.003198/2025-59;2025-04-24;Assinado;Bruno;2025-05-01;PA;02 00261/2024;BR-230;Projetos;Envio de Caderno de Desenhos - Contrato n.º 02 00261/2024. BR-230/PA.;Possível PAAR - analisar com calma;20964531;21518195;;;2025-04-24;;2025-04-24;Bruno Pimenta Resende;25/06/2025;Sim;Não;;
PROJETO;50600.002661/2025-45;2025-04-25;Assinado;Rebeca;2025-05-02;TO;00 00958/2024;BR-226;Projetos;Encaminhamento de documentos referentes ao Projeto para a reconstrução da ponte sobre o Rio Tocantins – Contrato n.º 00958/2024.;Ciência do Termo de Aceite - OAE infra e meso;20669776;21115059;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50600.002661/2025-45;2025-04-25;Assinado;Rebeca;2025-05-02;TO;00 00958/2024;BR-226;Projetos;Encaminhamento de documentos referentes ao Projeto para a reconstrução da ponte sobre o Rio Tocantins – Contrato n.º 00958/2024.;Encaminhamento ao Consórcio do Termo de Aceite;20669776;21115284;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50600.018392/2024-58;2025-04-23;Assinado;Rebeca;2025-04-30;TO;23 00748/2023;BR-010;Projetos;Versão final do projeto da ponte sobre o rio Araguaia na BR-153/PA/TO.;Ciência de As Built;20948566;21115597;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50611.003640/2024-37;2025-04-28;Assinado;Rebeca;2025-05-05;MT;11 00259/2016;BR-242;Projetos;Relatório de Metodologia Avaliatória-RMA- BR-158/MT - Contorno Maraiwatsede - Lote B;Ciência quanto à análise da supervisora;20994326;21115707;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
ASSESSORIA COAC;50600.000166/2025-00;2025-04-29;Assinado;Gabrielle;2025-05-06;-;-;-;Externo;Termo de Arrolamento e Transferência de bens de Bens das rodovias federais BR-060/452/GO - do Sistema Rodoviário Rota Verde no estado de Goiás.;"Remetente: ANTT 
Resposta sobre a via ser concedida de acordo com o PER.
";20999384;21242892;;;2025-06-04;;2025-06-04;Gabrielle Afonso Pereira Nogueira;2025-04-06;Sim;Não;;
PROJETO;50613.000439/2018-30;2025-04-29;Assinado;Gabrielle;2025-05-29;PB;13 00938/2017;BR-230;PAAR;Encaminhamento de manifestação do Consórcio LCM/CCL/PRODEC sobre o cumprimento do cronograma para entrega dos Projetos Executivos de OAE. - Ofício nº 76737/2025/DIR/DNIT SEDE (SEI! 20787826);Responder a resposta da resposta da notificação, deixando claro que a COAC não tem o que aplicar no PAAR.;21003000;21517083;;;2025-06-24;;2025-07-17;Bruno Pimenta Resende;24/06/2025;Sim;Não;;
ASSESSORIA COAC;50600.038641/2021-89;2025-04-29;Assinado;Rebeca;2025-05-06;RS;00 00375/2024;BR-116;Externo;Atualização das informações referentes aos contratos do DNIT nas rodovias BR-116/158/290/392/RS.;"Remetente: Secretaria Nacional de Transporte Rodoviário do Ministério dos Transportes - SNTR/MT
Informações sobre contratos em andamento (BR 116, 158, 290, 392) - encaminhamente para a regional.";20989257;21164072;;;2025-04-29;;2025-05-16;Gabrielle Afonso Pereira Nogueira;2025-04-06;Sim;Não;;
PROJETO;50606.000347/2025-78;2025-04-28;Assinado;Rebeca;2025-05-05;MG;00 00619/2024;BR-381;Projetos;Contrato nº 00 00619/2024 - Ciência de Análise de Projetos - BR-381/MG.;Informativo de destaque de informação da CGDESP em NotaTécnica de análise de Plano de Tráfego. Informação já havia sido repassada ao Consórcio;20989708;21116091;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50602.001136/2024-10;2025-05-05;Assinado;Rebeca;2025-06-04;PA;02 00261/2024;BR-230;Notificação;Descumprimento Contratual - Análise.;SR envia documento para a CGCONT analisar possível PAAR. Encaminhamento para fiscalização instaurar, caso julgue necessário. Citar os capítulos da IN;21025809;21328182;;;2025-05-05;;2025-06-10;Bruno Pimenta Resende;2025-11-06;Sim;Não;;
ASSESSORIA COAC;50621.001041/2024-60;2025-04-15;Assinado;Rebeca;2025-04-22;SE;21 00409/2021;BR-101;Externo; Posto fiscal de Cristinápolis – SE.;"Solicitante: Secretaria Nacional de Transporte Rodoviário do Ministério dos Transportes – SNTR/MT.
Enviado para a SR pedindo informações.
";20817426;21116191;;;2025-05-16;;2025-05-16;Gabrielle Afonso Pereira Nogueira;2025-04-06;Sim;Não;;
PROJETO;50600.015748/2024-00;2025-04-15;Assinado;Rebeca;2025-04-22;AL;00 00057/2024;BR-349;Projetos;Contrato nº 00 00057/2024 - Solicitação de exclusão de documentos.;Despacho para informar que não é possível exclusão de documentos protocolados por usuário externo;20893102;21122551;21118330;;2025-04-15;;2025-04-15;Bruno Pimenta Resende;24/06/2025;Sim;Não;;
PROJETO;50600.015748/2024-00;2025-04-24;Assinado;Rebeca;2025-05-01;AL;00 00057/2024;BR-349;Projetos;Contrato nº 00 00057/2024 -Termo de Aceite Estudo Hidrológico - BR-349/AL/SE ;Encaminhamento do termo de aceite Estudo Hidrológico;20968918;21118330;;;2025-05-14;;2025-05-14;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
ASSESSORIA COAC;50600.013599/2025-17;2025-05-08;Assinado;Rebeca;2025-05-15;MT;11 00259/2016;BR-242;Externo;Pavimentação da BR-242, no trecho entre São Félix do Araguaia e a BR-158, em Alto da Boa Vista, no estado de Mato Grosso;"Remetente: Secretaria Nacional de Transporte Rodoviário do Ministério dos Transportes - SNTR - Gabinete do presidente da república
Sobre pavimentação da BR 242 enviamos para a DPP por se tratar de um EVTEA.
";21089656;21201163;;;2025-05-21;;2025-05-21;Gabrielle Afonso Pereira Nogueira;2025-04-06;Sim;Não;;
ASSESSORIA COAC;50600.013519/2025-23;2025-05-09;Assinado;Rebeca;2025-05-16;PE;04 00260/2021;BR-423;Externo;Solicitação de pavimentação da BR-110/PE.;"Remetente: FALA BR 
Solicitando pavimentação da 110 PE e informações sobre o trecho.";21088882;21131112;;;2025-05-09;;2025-05-21;Gabrielle Afonso Pereira Nogueira;2025-04-06;Sim;Não;;
ASSESSORIA COAC;50612.000608/2025-71;2025-05-07;Assinado;Gabrielle;2025-05-14;MG;00 00277/2022;BR-135;Externo;Termo de Arrolamento e Reversão de Bens e Termo Aditivo ao Termo de Arrolamento e Transferência de Bens - BR-262/MG (Rota do Zebu);"Remetente: ANTT (Termo de arrolamento)
Resposta a DIR sobre não haver nada no trecho (Rota do Zebu)";21060262;21238814;;;2025-05-07;;2025-06-04;Gabrielle Afonso Pereira Nogueira;2025-06-06;Sim;Não;;
ASSESSORIA COAC;50611.001086/2025-34;2025-05-12;Assinado;Rebeca;2025-05-19;MT;11 00259/2016;BR-242;Externo;Concessão da Rodovia BR-070/MT – Travessia Urbana de Cáceres/MT. ;"Remetente: Prefeitura Municipal de Cáceres
Solicitação de manter a BR 070/MT sobre responsabilidade do DNIT.";21104290;21219651;;;2025-05-12;;2025-05-22;Gabrielle Afonso Pereira Nogueira;2025-04-06;Sim;Não;;
ASSESSORIA COAC;50600.034128/2024-61;2025-05-23;Assinado;Gabrielle;2025-05-30;PR;09 00397/2021;BR-487;FALA-BR;Concessão das Rodovias Paranaenses - BR-369/373/376/PR - Lote 3.;"Remetente: ANTT 
Termo de arrolamento já assinado BR-369/373/376/PR e PR-090/170/323/445 – Lote 3.";21207090;21245465;;;2025-05-23;;2025-05-30;Gabrielle Afonso Pereira Nogueira;2025-04-06;Sim;Não;;
PROJETO;50600.014362/2025-53;2025-05-28;Assinado;Bruno;2025-06-27;AL;00 00083/2017;BR-101;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;-;-;21137263;;;2025-05-28;;2025-06-02;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50600.015453/2025-14;2025-05-28;Assinado;Bruno;2025-06-27;BA;00 00379/2024;BR-116;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;-;-;21267381;;;2025-05-28;;2025-06-02;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50600.015508/2025-88;2025-05-28;Assinado;Bruno;2025-06-27;GO;12 00350/2024;BR-070;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;-;-;21271893;;;2025-05-28;;2025-06-02;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50600.015618/2025-40;2025-05-28;Assinado;Bruno;2025-06-27;PA;02 00398/2024;BR-230;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;-;-;21281845;;;2025-05-28;;2025-06-02;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50600.015633/2025-98;2025-05-28;Assinado;Bruno;2025-06-27;PE;04 00520/2022;BR-407;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;-;-;21285263;;;2025-05-28;;2025-06-02;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50600.015637/2025-76;2025-05-28;Assinado;Bruno;2025-06-27;RO;22 00902/2020;BR-364;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;-;-;21285689;;;2025-05-28;;2025-06-02;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50600.015639/2025-65;2025-05-28;Assinado;Bruno;2025-06-27;TO;23 00658/2023;BR-153;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;-;-;21285910;;;2025-05-28;;2025-06-02;Bruno Pimenta Resende;2025-04-06;Sim;Não;;
PROJETO;50619.000790/2024-19;2025-05-21;Assinado;Thânia;2025-05-28;MS;19 00758/2023;BR-060;Projetos;Contrato nº 19 00758/2023 - Ciência do projeto e análise - BR-267/MS;Revisar posicionamento dos documentos recebidos;21203073;21642205;21642216;;2025-07-09;"1º versão 21/05 -  21208707 (Marília retirou do bloco)
Correção 04/06 - Marília retirou do bloco
2º correção 12/06 - Bloco
2º versão 23/06 - 21502095


Os ofícios foram gerados em resposta aos seguintes documentos: Despacho (DNIT) (SEI nº 21024591), e aos Ofícios 119067 (SEI nº 21203073), 147788 (SEI nº 21473385), 149349 (SEI nº 21489066) e 150987 (SEI nº 21506130)";2025-07-17;Bruno Pimenta Resende;2025-09-07;Sim;Não;;
PROJETO;50609.004210/2023-09;2025-05-29;Assinado;Thânia;2025-06-05;PR;09 00397/2021;BR-487;Projetos;" - Ciência de análise.
 - Termo de Aceite .
- Encaminhamento de documento";#NOME?;21297823;21419824;21445675;;2025-05-29;21239588/21211452 / 21424894;2025-06-23;Bruno Pimenta Resende;23/06/2025;Sim;Não;;
PROJETO;50611.003107/2022-11;2025-05-27;Assinado;Thânia;2025-06-03;MT;11 00159/2022;BR-158;Projetos;Contrato n.º 11 00159/2022 - Ciência de Projetos - BR-158/MT.;Encaminhamento à empresa das análises de projeto;21031066;21218091;;;2025-05-27;;2025-05-27;Bruno Pimenta Resende;2025-11-06;Sim;Não;;
PROJETO;50611.003107/2022-11;2025-05-29;Assinado;Thânia;2025-06-05;MT;11 00159/2022;BR-158;Projetos;Contrato nº 11 00159/2022 - Encaminhamento de análises - BR-158/MT.;Encaminhamento à DIR para ciência de análise de projeto.;21260489;21299144;;;2025-05-29;;2025-06-04;Rebeca Braz Soares Fiameni;2025-05-06;Sim;Não;;
PROJETO;50600.002918/2020-54;2025-05-29;Assinado;Thânia;2025-06-05;-;-;-;Projetos;Contrato nº 00 00248/2019 - Encaminhamento de Análise e Termo de Aceite  - BR-277/PR.;Encaminhamento à DIR para ciência do documento.;21281681;21295438;;;2025-05-29;"
";2025-05-29;Rebeca Braz Soares Fiameni;2025-12-06;Sim;Não;;
PROJETO;50600.002918/2020-54;2025-05-29;Assinado;Thânia;2025-06-05;-;-;-;Projetos;Emissão de Termo de Aceite Contrato n.º 248/2019 - Rodovia BR-277/PR.;Encaminhamento à empresa para ciência da análise de projeto.;21281681;21295512;;;2025-05-29;;2025-05-29;Rebeca Braz Soares Fiameni;2025-12-06;Sim;Não;;
PROJETO;50600.001848/2025-21;2025-05-13;Assinado;Bruno;2025-05-20;TO;00 00958/2024;BR-226;Projetos; Emissão de Parecer de Interferência Prévia (PIP) - Reconstrução da Ponte JK.;Despacho conclusivo elaborado ;21095412;21378371;;;2025-05-13;;2025-06-10;Rebeca Braz Soares Fiameni;2025-10-06;Sim;Não;;
PROJETO;50600.037160/2024-07;2025-05-28;Assinado;Bruno;2025-06-04;BA;00 00392/2024;BR-030;Projetos;Relatório de Análise de projeto referente ao Contrato n.º 392/2024.;Encaminhamento à DIR para ciência da aprovação.;21264405;21336184;21336210;;2025-05-28;SEI Recebidos: 21105027, 21119115, 21229337;2025-06-04;Rebeca Braz Soares Fiameni;2025-05-06;Sim;Não;;
PROJETO;50603.000483/2023-26;2025-05-29;Assinado;Bruno;2025-06-05;CE;03 00077/2024;BR-116;Projetos;Informamos a inclusão, no presente processo, dos documentos listados abaixo, encaminhado pelo Consórcio CLC-CONSERVA-ESTRATÉGICA, contrato nº 03-77/2024, via e-mail, conforme (SEI nº 21297891);Encaminhamento à DIR sobre ciência dos documentos.;21298103;21339469;;;2025-05-29;SEI recebido: 21213130;2025-06-04;Rebeca Braz Soares Fiameni;2025-05-06;Sim;Não;;
PROJETO;50600.002661/2025-45;2025-05-26;Assinado;Thânia;2025-06-02;TO;00 00958/2024;BR-226;Projetos;Análise de Projeto Executivo - BR-226/TO.;Encaminhamento à DIR para ciência da análise de documento.;21225708;21340781;21399381;;2025-05-26;;2025-05-26;Rebeca Braz Soares Fiameni;2025-12-06;Sim;Não;;
PROJETO;50609.001700/2014-54;2025-05-23;Assinado;Bruno;2025-05-30;PR;-;-;Projetos;Informamos a inclusão, no presente processo, dos documentos listados abaixo, encaminhados pelo Consórcio CASTILHO STE, contrato SR/PR-00397/2021, via e-mail, conforme (SEI nº 21031171 e SEI nº 21181832).;Encaminhamento à DIR para ciência dos documentos.;21216473;21505808;;;2025-07-09;1ª Versão - 21347053 - 18/06/2025;2025-07-17;Bruno Pimenta Resende;2025-09-07;Sim;Não;;
PROJETO;50611.003641/2024-81;2025-05-22;Assinado;Thânia;2025-05-29;MT;11 00159/2022;BR-158;Projetos;Análise dos Projetos Referentes ao Contrato n.º 159/2022-00.; Ecaminhamento ao consórcio para conhecimento e providências referentes a análise.;21210712;21348379;;;2025-05-22;;2025-06-12;Rebeca Braz Soares Fiameni;2025-12-06;Sim;Não;;
PROJETO;50600.003198/2025-59;2025-05-20;Assinado;Bruno;2025-05-27;PA;02 00261/2024;BR-230;Projetos;Envio de Caderno de Desenhos - Contrato n.º 02 00261/2024. BR-230/PA.;Encaminhamento à DIR com ciência dos projetos.;20964531;21421570;;;2025-05-20;;2025-06-11;Bruno Pimenta Resende;2025-11-06;Sim;Não;;
PROJETO;50610.005571/2020-82;2025-05-20;Assinado;Bruno;2025-05-27;RS;10 00821/2019;BR-116;Projetos;Considerando Ofício CE-624/2025 (SEI 20867693) do Consórcio Construtor dos Melhoramentos Físicos e de Segurança de Tráfego da BR-116, o qual contempla a resposta deste ao o Ofício Nº 73226/2025/COAC/CGCONT/DIR/DNIT SEDE (SEI 20751590), enviamos o presente expediente para o devido encaminhamento à CGCONT.;Encaminhamento à DIR para ciência dos documentos.;20897664;21333988;;;2025-05-20;;2025-06-04;Rebeca Braz Soares Fiameni;2025-05-06;Sim;Não;;
PROJETO;50621.000865/2023-31;2025-05-29;Assinado;Gabrielle;2025-06-05;SE;21 00409/2021;BR-101;Projetos;Projetos concluídos no âmbito do Contrato n.º 512/2024.;Aprovação de projetos - ciência a DIR. ;21254098;21308554;;;2025-05-29;;2025-06-04;Gabrielle Afonso Pereira Nogueira;2025-05-06;Sim;Não;;
PROJETO;50600.015748/2024-00;2025-06-02;Assinado;Gabrielle;2025-06-09;AL;00 00057/2024;BR-349;Projetos;Assunto: Emissão de Termo de Aceite Contrato n.º 57/2024​​ - Rodovia BR 349/AL/SE;Encaminhamento do termo de aceite ao consórcio;21282198;21327640;;;2025-06-02;;2025-06-10;Bruno Pimenta Resende;2025-11-06;Sim;Não;;
ASSESSORIA COAC;50600.006415/2025-62;2025-06-03;Assinado;Gabrielle;2025-06-10;MS;19 00758/2023;BR-060;Externo;Assunto: Ponte internacional sobre o Rio Uruguai - Porto Xavier - Edital de Concorrência Eletrônica n.º 90470/2024;"Remetente: RBF
Foi enviado para a SR tomar as provicências pedidas pela RBF assim que iniciar o contrato.
";21458018;21503447;;;2025-07-07;;2025-07-07;Gabrielle Afonso Pereira Nogueira;2025-08-07;Sim;Não;;
ASSESSORIA COAC;50621.001041/2024-60;2025-06-03;Assinado;Gabrielle;2025-06-10;-;-;-;Externo;Posto fiscal de Cristinápolis – SE.;"Remetente: SNTR
Solicitação sobre alguns pontos do contrato( posto fiscal de cristianópolis), foi enviado à SR para resposta e devolvido /á DIR corroborando com a fala da SR.
";21319281;21334945;;;2025-06-03;;2025-06-09;Gabrielle Afonso Pereira Nogueira;2025-10-06;Sim;Não;;
ASSESSORIA COAC;50600.038641/2021-89;2025-05-23;Assinado;Gabrielle;2025-05-30;RS;00 00375/2024;BR-116;Externo;Reiteração - Atualização das informações referentes aos contratos do DNIT nas rodovias BR-116/158/290/392/RS.;"Remetente: SNTR
Reiteramos para a SR a necesidade de atendimento sobre informações das BR 116/RS, 158/RS, 290/RS e 392/RS.
E informamos a DIR sobre a reiteração";21228674;21363805;21364107;;2025-06-09;;2025-06-12;Gabrielle Afonso Pereira Nogueira;2025-12-06;Sim;Não;;
PROJETO;50600.015618/2025-40;2025-06-04;Assinado;Gabrielle;2025-06-11;PA;02 00398/2024;BR-230;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;Resposta para a SR colando para a DIR sobre notificação de atraso de cronograma.;21331961;21353304;;;2025-06-04;;2025-06-12;Gabrielle Afonso Pereira Nogueira;2025-12-06;Sim;Não;;
ASSESSORIA COAC;50600.032804/2022-09;2025-06-04;Assinado;Gabrielle;2025-06-11;-;-;-;Externo;Assunto: Solicitação de gestão em face de pagamentos pendentes - Contrato n.º 320/2022. Rodovia BR-101/PE/AL/SE/BA.;Resposta a DIR sobre manifestação de empresa de supervisão ambiental ameaçando suspender os serviços na BR 101 por falta de pagamento.;21334411;21367100;;;2025-06-04;;2025-06-09;Gabrielle Afonso Pereira Nogueira;2025-10-06;Sim;Não;;
PROJETO;50611.003107/2022-11;2025-06-06;Assinado;Bruno;2025-06-13;MT;-;-;Projetos;Contrato nº 11 00159/2022 - Encaminhamento de análise - BR-158/MT.;AGUARDAR SRE RECEBER PROJETOS. NÃO NECESSITA ENVIAR ANÁLISE PARA EMPRESA DEVIDO JÁ TEREM ENVIADO AS ALTERAÇÕES.;21361709;21703227;21703237;;2025-07-15;"1º versão 18/06 - 21480179/ 21480678
Parado no bloco";2025-07-17;Rebeca Braz Soares Fiameni;2025-11-07;Sim;Não;;
ASSESSORIA COAC;50600.016227/2025-42;2025-06-09;Assinado;Rebeca;2025-06-16;-;-;-;FALA-BR;Pedido de informações - Lei de Acesso à Informação - LAI;"FALA BR
Solicitação de todas as obras do Ministério de Transportes que estão paradas e os motivos.";21383663;21406701;;;2025-06-09;;2025-06-09;Gabrielle Afonso Pereira Nogueira;26/06/2025;Sim;Não;;
PROJETO;50600.034231/2024-10;2025-06-09;Assinado;Bruno;2025-06-16;BA;00 00391/2024;BR-030;Projetos;Encaminhamento de Projetos Análises e Despacho;Envio de Despacho;21367984;21680539;21680555;21680722;2025-06-26;1º versão revisada dia 26/06;2025-07-10;Bruno Pimenta Resende;2025-11-07;Sim;Não;;
ASSESSORIA COAC;50600.000572/2022-11;2025-06-05;Assinado;Gabrielle;2025-06-12;-;-;-;Externo;Termos de Arrolamento de Bens - Rodovias do Paraná - Lotes 04 e 05.;"Remetente: SNTR 
Solicitação de dados sobre os lotes 4 e 5 para concessão em trechos das BR 22, 376, 158, 163, 369 E 467.
Modelo para termo de arrolamento.";21352054;21541803;;;2025-07-03;;2025-07-07;Gabrielle Afonso Pereira Nogueira;2025-08-07;Sim;Não;;
ASSESSORIA COAC;50600.015908/2025-93;2025-06-06;Assinado;Gabrielle;2025-06-13;-;-;-;Externo;Solicitação de Levantamento de Informações para Elaboração do Termo de Arrolamento das Rodovias BR-060/GO e BR-364/GO/MT.;"Remetente: SNTR
Termo de arrolamento dos trechos 060/GO, 364/GO, 364/MT, contorno do araguaia e contorno de Jataí.
Modelo de termo de arrolamento sem obra no trecho.";21358057;21624076;;;2025-07-03;;2025-07-07;Gabrielle Afonso Pereira Nogueira;2025-08-07;Sim;Não;;
ASSESSORIA COAC;50600.021197/2020-81;2025-06-06;Assinado;Gabrielle;2025-06-13;-;-;-;Externo;Estudos Comparativos Referentes aos Trechos das Obras de Duplicação da Rodovia BR-116/RS e BR-392/RS – Ecosul.;"Remetente: ANTT
Termo de arrolamenro das rodovias 116/RS e 392/RS que tem uma entrave entre a concessionária e a SRE sobre as obras de duplicação e sua conservação. Corroboramos com a NT da SRE.";21348580;21541334;;;2025-06-06;;2025-06-06;Gabrielle Afonso Pereira Nogueira;2025-08-07;Sim;Não;;
ASSESSORIA COAC;50001.056571/2025-23;2025-06-05;Assinado;Rebeca;2025-06-12;-;-;-;FALA-BR; Lei de Acesso à Informação.;"Remetente: FALA BR
Levantamento dos contratos cancelados (rescindidos/encerrados) de 2020 a 2025 com mais algumas informações.";21365642;21478060;;;2025-06-05;;2025-06-18;Gabrielle Afonso Pereira Nogueira;30/06/2025;Sim;Não;;
PROJETO;50600.015633/2025-98;2025-06-10;Assinado;Gabrielle;2025-06-17;PE;04 00260/2021;BR-423;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;Encaminhamento à DIR sobre resposta de notificação de cronograma atrasado.;21387019;21440844;;;2025-07-07;;2025-07-17;Rebeca Braz Soares Fiameni;2025-07-09;Sim;Não;;
PROJETO;50610.004452/2024-36;2025-05-29;Assinado;Thânia;2025-06-05;RS;10 00821/2019;BR-116;Projetos;Ciência de projetos e análises - BR-116/RS;Elaboração de Minuta do Ofício 143025 (SEI nº 21428965), para assinatura da coordenadora.;21284702;21428965;;;2025-05-29;;2025-06-12;Rebeca Braz Soares Fiameni;2025-12-06;Sim;Não;;
PROJETO;50600.002918/2020-54;2025-06-12;Assinado;Rebeca;2025-06-19;PR;-;-;Projetos; Inclusão de documento.;Analisar se pode ser um despacho de conclusão ou um documento de ciência;21388924;21722346;;;2025-07-14;;2025-07-17;Rebeca Braz Soares Fiameni;2025-02-07;Sim;Não;;
PROJETO;50606.000347/2025-78;2025-06-12;Assinado;Thânia;2025-06-19;MG;00 00619/2024;BR-381;Projetos;"Encaminhamento dos Estudos Geológicos e do Relatório Preliminar de Avaliação 
Ambiental.";Ciência do documento, visto já ter sido enviado à CGDESP pela SR;21415147;21590837;;;2025-07-10;Também em resposta ao sei recebido: 21575613;2025-07-17;Rebeca Braz Soares Fiameni;2025-10-07;Sim;Não;;
PROJETO;50600.015639/2025-65;2025-06-12;Assinado;Gabrielle;2025-06-19;TO;23 00748/2023;BR-010;Notificação;Descumprimento dos prazos fixados no Cronograma Físico-Financeiro para entrega de Projeto Básico/Executivo.;Responder notificação com padrão criado;21403690;21441385;;;2025-06-24;;2025-07-17;Bruno Pimenta Resende;26/06/2025;Sim;Não;;
PROJETO;50600.007228/2025-04;2025-06-16;Assinado;Gabrielle;2025-06-23;BA;00 00379/2024;BR-116;Projetos;Proposta de apresentação dos projetos - Contrato n.º 379/2024 - Rodovia BR-116/BA.;Enviado a empresa a análise do projeto.;21407098;22039587;22046018;;2025-08-15;"21609484
21648515
1ª Versão - 21687467 - 10/07/2025
2ª Versão - 21987229 - 11/08/2025.
3ª Versão - 22039587 e 22046018 - 13/08/2025.";2025-08-22;Rebeca Braz Soares Fiameni;2025-10-07;Sim;Não;;
PROJETO;50619.000599/2022-13;2025-06-17;Assinado;Bruno;2025-06-24;MS;-;-;Projetos;Contrato 19 00194/2021​ – Encaminhamento do Termo de Aceite - BR-419/MS.;Envio para a empresa;21459948;21683335;21683602;;2025-07-15;1ª Versão 18/06 - 21487930;2025-07-17;Rebeca Braz Soares Fiameni;2025-09-07;Sim;Não;;
PROJETO;50604.001490/2023-35;2025-06-18;Assinado;Bruno;2025-06-25;PE;-;-;Projetos;Contrato nº 04 00260/2021 - Ciência de Projetos e Análises - BR-423/PE;Ciência de tudo;21479245;21718481;;;2025-07-15;Marília autorizou dar ciência de todos os documentos q não foram enviados, anteriormente, para a CGCONT;2025-07-17;Rebeca Braz Soares Fiameni;2025-02-07;Sim;Não;;
